Parameter,ParameterType,Unit,Cat3_D1,Cat3_D2,QChoc1,RHuat6,RSalc1,RUrub0,RUrub1,RVilc1,RVilc10,RVilc11,RVilc13,RVilc14,RVilc18,RVilc20,RVilc21,RVilc24,RVilc26,RVilc27,RVilc3,RVilc31,RVilc4,RVilc6,RVilc8,RYana3,Cat3_D1_min,Cat3_D1_max,Cat3_D2_min,Cat3_D2_max
Aceites y Grasas,FISICOS - QUIMICOS,mg/L,<=5,<=10,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoniaco-N,FISICOS - QUIMICOS,mg/L,<=5,<=10,,,,,,,,,,,,,,,,,,,,,,,,,,
Cianuro WAD,FISICOS - QUIMICOS,mg/L,"<=0,1","<=0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
Demanda Bioquímica de Oxígeno (DBO5),FISICOS - QUIMICOS,mg/L,<=15,<=15,,,,,,,,,,,,,,,,,,,,,,,,,,
Demanda Química de Oxígeno (DQO),FISICOS - QUIMICOS,mg/L,<=40,<=40,,,,,,,,,,,,,,,,,,,,,,,,,,
Fosfatos ,FISICOS - QUIMICOS,mg/L,<=40,<=40,,,,,,,,,,,,,,,,,,,,,,,,,,
Fósforo Total,FISICOS - QUIMICOS,mg/L P,<=40,<=40,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitratos (NO3-),FISICOS - QUIMICOS,mg/L,<=40,<=40,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrógeno Total,FISICOS - QUIMICOS,mg/L,<=40,<=40,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxígeno Disuelto,FISICOS - QUIMICOS,mg/L,= 4,= 5,,,,,,,,,,,,,,,,,,,,,,,,,,
pH,FISICOS - QUIMICOS,Unidad de PH,"6,5 – 8,5","6,5 – 8,4",,,,,,,,,,,,,,,,,,,,,,,,,,
Sólidos Suspendidos Totales,FISICOS - QUIMICOS,mg/L,"6,5 – 8,5","6,5 – 8,4",,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfuros,FISICOS - QUIMICOS,mg/L,"6,5 – 8,5","6,5 – 8,4",,,,,,,,,,,,,,,,,,,,,,,,,,
Temperatura,FISICOS - QUIMICOS,°C,±3,±3,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminio,INORGANICOS,mg/L,<=5,<=5,,,,,,,,,,,,,,,,,,,,,,,,,,
