Parameter,ParameterType,Unit,Cat3_D1,Cat3_D2,QChoc1,RHuat6,RSalc1,RUrub0,RUrub1,RVilc1,RVilc10,RVilc11,RVilc13,RVilc14,RVilc18,RVilc20,RVilc21,RVilc24,RVilc26,RVilc27,RVilc3,RVilc31,RVilc4,RVilc6,RVilc8,RYana3,Cat3_D1_min,Cat3_D1_max,Cat3_D2_min,Cat3_D2_max
Aceites y Grasas,FISICOS - QUIMICOS,mg/L,<=5,<=10,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,,,
Amoniaco-N,FISICOS - QUIMICOS,mg/L,<=5,<=10,0.012,20.1,0.013,0.061,0.123,0.011,0.074,0.793,0.197,0.289,0.266,0.246,0.233,0.177,0.125,0.114,0.028,0.078,0.542,0.144,0.075,0.038,,,,
Cianuro WAD,FISICOS - QUIMICOS,mg/L,"<=0,1","<=0,1",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,,,
Demanda Bioquímica de Oxígeno (DBO5),FISICOS - QUIMICOS,mg/L,<=15,<=15,6.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,16.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,
Demanda Química de Oxígeno (DQO),FISICOS - QUIMICOS,mg/L,<=40,<=40,9.0,37.0,14.0,9.0,10.0,9.0,13.0,16.0,15.0,32.0,14.0,13.0,9.0,9.0,9.0,11.0,15.0,9.0,14.0,9.0,10.0,9.0,,,,
Fosfatos ,FISICOS - QUIMICOS,mg/L,<=40,<=40,0.038,2.686,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.006,0.019,0.038,0.038,0.038,0.038,0.038,0.038,0.038,,,,
Fósforo Total,FISICOS - QUIMICOS,mg/L P,<=40,<=40,0.019,1.448,0.494,1.006,1.064,0.045,0.684,0.63,0.811,1.241,0.609,0.506,0.201,0.018,0.019,0.091,0.065,1.004,0.422,0.128,0.557,0.462,,,,
Nitratos (NO3-),FISICOS - QUIMICOS,mg/L,<=40,<=40,0.062,0.713,0.724,0.332,0.66,0.062,1.027,1.138,0.739,1.107,1.563,1.146,3.236,1.848,1.387,1.208,1.045,0.927,1.085,0.912,0.912,0.159,,,,
Nitrógeno Total,FISICOS - QUIMICOS,mg/L,<=40,<=40,1.0,23.7,6.2,4.8,3.4,1.6,7.8,9.4,9.0,7.5,8.3,7.9,1.9,5.0,6.2,6.3,4.6,4.2,7.7,2.1,8.3,2.1,,,,
Oxígeno Disuelto,FISICOS - QUIMICOS,mg/L,= 4,= 5,1.0,3.3,6.85,7.9,7.71,6.52,7.8,9.4,7.7,5.46,8.3,7.9,7.68,8.05,7.9,8.1,6.8,8.03,5.15,7.59,8.3,7.61,,,,
pH,FISICOS - QUIMICOS,Unidad de PH,"6,5 – 8,5","6,5 – 8,4",6.19,7.85,7.47,7.73,7.64,7.35,7.42,7.54,8.02,7.82,7.59,7.72,7.31,8.42,8.16,7.44,7.29,7.8,7.69,8.78,7.07,7.07,,,,
Sólidos Suspendidos Totales,FISICOS - QUIMICOS,mg/L,"6,5 – 8,5","6,5 – 8,4",3.0,81.0,1208.0,900.0,1028.0,16.0,768.0,652.0,816.0,644.0,580.0,382.0,42.0,114.0,353.0,712.0,49.0,884.0,528.0,9.0,574.0,588.0,,,,
Sulfuros,FISICOS - QUIMICOS,mg/L,"6,5 – 8,5","6,5 – 8,4",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,,,
Temperatura,FISICOS - QUIMICOS,°C,±3,±3,19.5,17.0,15.0,22.1,21.0,15.0,15.4,16.0,16.5,15.9,15.8,16.6,21.3,17.9,19.5,21.0,14.2,21.0,14.8,14.9,14.3,23.2,,,,
Aluminio,INORGANICOS,mg/L,<=5,<=5,0.06,1.04,20.58,39.01,33.9,0.47,10.6,8.15,18.72,12.93,7.93,6.91,2.12,2.52,9.48,27.81,0.71,42.0,3.54,0.08,8.93,22.25,,,,
Antimonio,INORGANICOS,mg/L,<=5,<=5,0.0025,0.0025,0.0101,0.0025,0.0025,0.0025,0.0036,0.0031,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0031,0.0025,0.0025,0.0025,0.0032,0.0025,,,,
Arsénico,INORGANICOS,mg/L,"<=0,1","<=0,2",0.003,0.003,0.06,0.041,0.046,0.003,0.189,0.119,0.079,0.081,0.11,0.088,0.027,0.017,0.018,0.042,0.06,0.053,0.024,0.016,0.118,0.018,,,,
Bario,INORGANICOS,mg/L,"<=0,7","<=0,2",0.017,0.066,0.416,0.223,0.163,0.05,0.22,0.174,0.296,0.271,0.173,0.157,0.126,0.068,0.079,0.189,0.06,0.259,0.121,0.049,0.189,0.097,,,,
Berilio,INORGANICOS,mg/L,"<=0,1","<=0,1",0.0003,0.0003,0.0059,0.0013,0.001,0.0003,0.0045,0.0029,0.0035,0.0031,0.0027,0.0022,0.0003,0.0003,0.0003,0.0007,0.0003,0.001,0.0005,0.0003,0.0039,0.0008,,,,
Bismuto,INORGANICOS,mg/L,"<=0,1","<=0,1",0.00016,0.00016,0.00036,0.00028,0.00035,0.00016,0.00027,0.00016,0.0002,0.00025,0.00016,0.00016,0.00016,0.00016,0.00016,0.00036,0.00016,0.00025,0.00016,0.00016,0.00018,0.00017,,,,
Boro,INORGANICOS,mg/L,<=1,<=5,0.29,0.12,0.52,0.19,0.16,0.03,0.52,0.52,0.45,0.48,0.5,0.5,0.42,0.34,0.22,0.06,2.35,0.25,1.22,1.16,0.44,0.03,,,,
Cadmio,INORGANICOS,mg/L,"<=0,01","<=0,05",0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,,,
Calcio,INORGANICOS,mg/L,"<=0,01","<=0,05",152.821,102.19,63.583,28.747,26.15,15.029,74.182,80.639,83.544,87.333,80.825,87.971,71.619,57.509,40.134,22.793,96.171,38.843,84.673,91.342,67.325,9.526,,,,
Cerio,INORGANICOS,mg/L,"<=0,01","<=0,05",0.00024,0.00097,0.0279,0.0397,0.04472,0.00032,0.00939,0.00782,0.01285,0.01185,0.00596,0.00591,0.00219,0.00216,0.00958,0.02857,0.00043,0.03727,0.00226,0.00024,0.00774,0.04031,,,,
Cesio,INORGANICOS,mg/L,"<=0,01","<=0,05",0.0003,0.0008,0.1327,0.0124,0.0102,0.0007,0.0836,0.0662,0.0639,0.0545,0.0598,0.0485,0.0322,0.0164,0.0105,0.0127,0.1963,0.0158,0.0835,0.0643,0.0689,0.0056,,,,
Cobalto,INORGANICOS,mg/L,"<=0,05",<=1,0.00022,0.00084,0.02864,0.02303,0.02662,0.00137,0.0132,0.01006,0.01518,0.01258,0.00991,0.00836,0.00215,0.00216,0.00772,0.02121,0.00085,0.02422,0.01241,0.00029,0.00962,0.01865,,,,
Cobre,INORGANICOS,mg/L,"<=0,2","<=0,5",0.003,0.006,0.045,0.049,0.057,0.003,0.026,0.021,0.038,0.039,0.025,0.02,0.006,0.006,0.019,0.053,0.003,0.058,0.018,0.003,0.021,0.027,,,,
Cromo Total,INORGANICOS,mg/L,"<=0,1",<=1,0.005,0.005,0.031,0.055,0.005,0.006,0.013,0.01,0.016,0.014,0.01,0.008,0.006,0.006,0.014,0.052,0.006,0.058,0.007,0.006,0.011,0.005,,,,
Cromo VI,INORGANICOS,mg/L,"<=0,1",<=1,0.006,0.006,0.005,0.005,0.043,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.029,,,,
Estaño,INORGANICOS,mg/L,"<=0,1",<=1,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,,,,
Estroncio,INORGANICOS,mg/L,"<=0,1",<=1,2.4022,1.0433,0.7394,0.3249,0.2746,0.0482,0.9308,1.0158,1.0783,1.0208,1.0308,1.0808,1.0769,0.7769,0.5179,0.3251,1.1284,0.4659,1.1577,1.6079,0.8434,0.0754,,,,
Galio,INORGANICOS,mg/L,"<=0,1",<=1,0.00012,0.00025,0.00532,0.00978,0.00824,0.00012,0.00196,0.00099,0.00301,0.00186,0.00012,0.00012,0.00084,0.00012,0.00012,0.00645,0.00012,0.01097,0.00012,0.00012,0.00217,0.00602,,,,
Germanio,INORGANICOS,mg/L,"<=0,1",<=1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,,,
Hafnio,INORGANICOS,mg/L,"<=0,1",<=1,0.00015,0.00179,0.00015,0.00015,0.00042,0.00015,0.00033,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00022,0.00015,,,,
Hierro,INORGANICOS,mg/L,<=5,<=1,0.022,1.102,55.368,52.19,52.682,1.316,29.119,21.928,29.825,26.095,19.945,15.752,4.057,4.301,18.269,46.18,2.053,55.554,19.951,0.494,21.875,39.151,,,,
Lantanio,INORGANICOS,mg/L,<=5,<=1,0.0015,0.0015,0.013,0.0186,0.0198,0.0015,0.0041,0.0033,0.0056,0.0051,0.0025,0.0026,0.0015,0.0015,0.0046,0.0143,0.0015,0.0163,0.0015,0.0015,0.0032,0.0184,,,,
Litio,INORGANICOS,mg/L,"<=2,5","<=2,5",0.0518,0.0248,0.221,0.1562,0.1443,0.0052,0.2384,0.2374,0.2358,0.2433,0.234,0.2276,0.1789,0.1654,0.1235,0.1083,1.3026,0.182,0.6699,0.6963,0.2158,0.1075,,,,
Lutecio,INORGANICOS,mg/L,"<=2,5","<=2,5",6e-05,6e-05,7e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,7e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,,,,
Magnesio,INORGANICOS,mg/L,"<=2,5",<=250,1.221,19.767,23.327,22.592,21.851,19.363,18.445,19.594,24.84,21.955,20.943,21.081,16.321,14.466,13.453,19.969,23.347,26.375,22.575,25.753,15.675,14.29,,,,
Manganeso,INORGANICOS,mg/L,"<=0,2","<=0,2",0.0102,0.3089,1.9963,0.8973,0.8915,0.0971,1.1503,0.8158,1.1124,1.0051,0.9358,0.7893,0.2776,0.2323,0.3262,0.7992,0.1105,1.0258,0.3947,0.1351,0.8358,0.7415,,,,
Mercurio,INORGANICOS,mg/L,"<=0,001","<=0,01",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,
Molibdeno,INORGANICOS,mg/L,"<=0,001","<=0,01",0.00733,0.0021,0.00161,0.0022,0.0025,0.00044,0.00121,0.00117,0.00101,0.00112,0.00105,0.00101,0.00142,0.00139,0.00115,0.00211,0.00045,0.0023,0.00141,0.00049,0.00079,0.0007,,,,
Niobio,INORGANICOS,mg/L,"<=0,001","<=0,01",0.0015,0.0015,0.0015,0.0027,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0024,0.0015,0.0015,0.0015,0.0015,,,,
Niquel,INORGANICOS,mg/L,"<=0,2",<=1,0.003,0.003,0.05,0.052,0.052,0.003,0.022,0.017,0.022,0.021,0.017,0.015,0.004,0.004,0.017,0.05,0.003,0.051,0.019,0.003,0.017,0.046,,,,
Plata,INORGANICOS,mg/L,"<=0,2",<=1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,,,
Plomo,INORGANICOS,mg/L,"<=0,05","<=0,05",0.001,0.0014,0.0506,0.0103,0.0197,0.001,0.0271,0.0224,0.0276,0.0283,0.024,0.0171,0.0038,0.0036,0.0089,0.0149,0.0011,0.0112,0.0184,0.001,0.0218,0.0098,,,,
Potasio,INORGANICOS,mg/L,"<=0,05","<=0,05",1.0,7.5,6.6,10.6,7.2,0.8,6.1,5.9,7.3,7.0,6.1,6.0,4.1,4.3,3.9,4.5,11.4,10.9,8.8,7.0,5.4,4.7,,,,
Rubidio,INORGANICOS,mg/L,"<=0,05","<=0,05",0.0009,0.0072,0.0655,0.0498,0.0342,0.0021,0.0483,0.0382,0.0484,0.0444,0.0373,0.0335,0.0226,0.0188,0.019,0.0336,0.1027,0.0556,0.0673,0.0432,0.0426,0.0232,,,,
Selenio,INORGANICOS,mg/L,"<=0,02","<=0,05",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,,,
Silicio,INORGANICOS,mg/L,"<=0,02","<=0,05",10.27,11.4,27.68,65.96,45.16,3.96,17.38,16.14,35.58,26.27,15.94,15.02,10.54,8.75,15.95,34.37,10.53,67.15,10.01,4.93,14.99,28.15,,,,
Sodio,INORGANICOS,mg/L,"<=0,02","<=0,05",144.44,161.11,12.96,25.59,21.85,1.95,37.74,53.59,58.85,57.33,54.58,62.64,81.75,53.82,33.07,23.82,114.08,35.59,76.44,283.71,31.79,4.55,,,,
Talio,INORGANICOS,mg/L,"<=0,02","<=0,05",9e-05,9e-05,0.00019,0.00019,9e-05,9e-05,0.00018,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,0.00021,9e-05,0.00014,9e-05,9e-05,9e-05,9e-05,,,,
Tantalio,INORGANICOS,mg/L,"<=0,02","<=0,05",0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,,,,
Teluro,INORGANICOS,mg/L,"<=0,02","<=0,05",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,,,,
Titanio,INORGANICOS,mg/L,"<=0,02","<=0,05",0.03,0.03,0.24,0.89,0.65,0.03,0.16,0.14,0.44,0.28,0.13,0.14,0.05,0.07,0.15,0.75,0.03,0.99,0.04,0.03,0.14,0.17,,,,
Torio,INORGANICOS,mg/L,"<=0,02","<=0,05",0.00019,0.00019,0.0011,0.00692,0.00419,0.00019,0.00173,0.00046,0.00019,0.00019,0.00019,0.00019,0.00019,0.00019,0.00019,0.00393,0.00019,0.00572,0.00019,0.00019,0.00019,0.00403,,,,
Uranio,INORGANICOS,mg/L,"<=0,02","<=0,05",0.00012,0.00068,0.00197,0.00187,0.002,0.00012,0.00119,0.00097,0.00113,0.00113,0.00082,0.00079,0.00094,0.00072,0.00077,0.00157,0.00012,0.00176,0.00025,0.0003,0.00124,0.00083,,,,
Vanadio,INORGANICOS,mg/L,"<=0,02","<=0,05",0.006,0.006,0.041,0.071,0.056,0.006,0.02,0.016,0.035,0.026,0.014,0.014,0.006,0.007,0.019,0.058,0.006,0.08,0.013,0.006,0.014,0.022,,,,
Wolframio,INORGANICOS,mg/L,"<=0,02","<=0,05",0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,,,
Yterbio,INORGANICOS,mg/L,"<=0,02","<=0,05",6e-05,6e-05,0.0006,0.00066,0.00069,6e-05,0.00037,0.0003,0.00052,0.00049,0.00023,0.00024,6e-05,7e-05,0.00019,0.00058,6e-05,0.00069,0.00013,6e-05,0.00031,0.00019,,,,
Zinc,INORGANICOS,mg/L,<=2,<=24,0.003,0.042,0.294,0.128,0.229,0.003,0.184,0.149,0.2,0.244,0.202,0.162,0.045,0.015,0.089,0.237,0.008,0.147,0.106,0.005,0.193,0.183,,,,
Zirconio,INORGANICOS,mg/L,<=2,<=24,0.00045,0.00145,0.00073,0.00563,0.00078,0.00045,0.00059,0.00045,0.00089,0.00056,0.00045,0.00045,0.0006,0.00045,0.00045,0.00045,0.00052,0.00262,0.00045,0.00045,0.0005,0.00045,,,,
Coliformes Termotolerantes,MICROBIOLOGICO Y PARASITOLOGICOS,NMP/100ml,<=1000,<=1000,49.0,790000.0,790.0,22000.0,49000.0,49.0,4900.0,7000.0,33000.0,49000.0,4900.0,2800.0,33.0,240.0,4900.0,33.0,460.0,49000.0,49000.0,1300.0,1400.0,9400.0,,,,
